SCH_YEAR,DIST_NAME,SCH_NAME,DISAGG_LABEL,FOUR_YR_GRADRATE,,,,,,,,,,,,
20122013,Anderson County,--District Total--,All Students,96.5,,,,,,,,,,,,
20122013,Anderson County,--District Total--,Male,94.9,,,,,,,,,,,,
20122013,Anderson County,--District Total--,Female,97.9,,,,,,,,,,,,
20122013,Anderson County,--District Total--,White (Non-Hispanic),96.6,,,,,,,,,,,,
20122013,Anderson County,--District Total--,African American,***,,,,,,,,,,,,
20122013,Anderson County,--District Total--,Hispanic,***,,,,,,,,,,,,
20122013,Anderson County,--District Total--,Asian,***,,,,,,,,,,,,
20122013,Anderson County,--District Total--,American Indian or Alaska Native,***,,,,,,,,,,,,
20122013,Anderson County,--District Total--,Native Hawaiian or Other Pacific Islander,***,,,,,,,,,,,,
20122013,Anderson County,--District Total--,Two or more races,***,,,,,,,,,,,,
20122013,Anderson County,--District Total--,Migrant,***,,,,,,,,,,,,
20122013,Anderson County,--District Total--,Limited English Proficiency,***,,,,,,,,,,,,
20122013,Anderson County,--District Total--,Free/Reduced-Price Meals,93.1,,,,,,,,,,,,
20122013,Anderson County,--District Total--,Disability-With IEP (Total),94.7,,,,,,,,,,,,
20122013,Anderson County,--District Total--,Gap Group (non-duplicated),93.7,,,,,,,,,,,,
20122013,Ashland Independent,Paul G. Blazer High School,All Students,94.3,,,,,,,,,,,,
20122013,Ashland Independent,Paul G. Blazer High School,Male,94.6,,,,,,,,,,,,
20122013,Ashland Independent,Paul G. Blazer High School,Female,94.1,,,,,,,,,,,,
20122013,Ashland Independent,Paul G. Blazer High School,White (Non-Hispanic),94.3,,,,,,,,,,,,
20122013,Ashland Independent,Paul G. Blazer High School,African American,90.0,,,,,,,,,,,,
20122013,Ashland Independent,Paul G. Blazer High School,Hispanic,***,,,,,,,,,,,,
20122013,Ashland Independent,Paul G. Blazer High School,Asian,***,,,,,,,,,,,,
20122013,Ashland Independent,Paul G. Blazer High School,American Indian or Alaska Native,***,,,,,,,,,,,,
20122013,Ashland Independent,Paul G. Blazer High School,Native Hawaiian or Other Pacific Islander,***,,,,,,,,,,,,
20122013,Ashland Independent,Paul G. Blazer High School,Two or more races,***,,,,,,,,,,,,
20122013,Ashland Independent,Paul G. Blazer High School,Migrant,***,,,,,,,,,,,,
20122013,Ashland Independent,Paul G. Blazer High School,Limited English Proficiency,***,,,,,,,,,,,,
20122013,Ashland Independent,Paul G. Blazer High School,Free/Reduced-Price Meals,92.4,,,,,,,,,,,,
20122013,Ashland Independent,Paul G. Blazer High School,Disability-With IEP (Total),64.7,,,,,,,,,,,,
20122013,Ashland Independent,Paul G. Blazer High School,Gap Group (non-duplicated),91.3,,,,,,,,,,,,
20122013,Ashland Independent,--District Total--,All Students,94.0,,,,,,,,,,,,
20122013,Ashland Independent,--District Total--,Male,93.8,,,,,,,,,,,,
20122013,Ashland Independent,--District Total--,Female,94.1,,,,,,,,,,,,
20122013,Ashland Independent,--District Total--,White (Non-Hispanic),93.8,,,,,,,,,,,,
20122013,Ashland Independent,--District Total--,African American,90.0,,,,,,,,,,,,
20122013,Ashland Independent,--District Total--,Hispanic,***,,,,,,,,,,,,
20122013,Ashland Independent,--District Total--,Asian,***,,,,,,,,,,,,
20122013,Ashland Independent,--District Total--,American Indian or Alaska Native,***,,,,,,,,,,,,
20122013,Ashland Independent,--District Total--,Native Hawaiian or Other Pacific Islander,***,,,,,,,,,,,,
20122013,Ashland Independent,--District Total--,Two or more races,***,,,,,,,,,,,,
20122013,Ashland Independent,--District Total--,Migrant,***,,,,,,,,,,,,
20122013,Ashland Independent,--District Total--,Limited English Proficiency,***,,,,,,,,,,,,
20122013,Ashland Independent,--District Total--,Free/Reduced-Price Meals,92.5,,,,,,,,,,,,
20122013,Ashland Independent,--District Total--,Disability-With IEP (Total),61.1,,,,,,,,,,,,
20122013,Ashland Independent,--District Total--,Gap Group (non-duplicated),90.6,,,,,,,,,,,,
20122013,Augusta Independent,Augusta Independent School,All Students,100.0,,,,,,,,,,,,
20122013,Augusta Independent,Augusta Independent School,Male,100.0,,,,,,,,,,,,
20122013,Augusta Independent,Augusta Independent School,Female,100.0,,,,,,,,,,,,
20122013,Augusta Independent,Augusta Independent School,White (Non-Hispanic),100.0,,,,,,,,,,,,
20122013,Augusta Independent,Augusta Independent School,African American,***,,,,,,,,,,,,
20122013,Augusta Independent,Augusta Independent School,Hispanic,***,,,,,,,,,,,,
20122013,Augusta Independent,Augusta Independent School,Asian,***,,,,,,,,,,,,
20122013,Augusta Independent,Augusta Independent School,American Indian or Alaska Native,***,,,,,,,,,,,,
20122013,Augusta Independent,Augusta Independent School,Native Hawaiian or Other Pacific Islander,***,,,,,,,,,,,,
20122013,Augusta Independent,Augusta Independent School,Two or more races,***,,,,,,,,,,,,
20122013,Augusta Independent,Augusta Independent School,Migrant,***,,,,,,,,,,,,
20122013,Augusta Independent,Augusta Independent School,Limited English Proficiency,***,,,,,,,,,,,,
20122013,Augusta Independent,Augusta Independent School,Free/Reduced-Price Meals,100.0,,,,,,,,,,,,
20122013,Augusta Independent,Augusta Independent School,Disability-With IEP (Total),***,,,,,,,,,,,,
20122013,Augusta Independent,Augusta Independent School,Gap Group (non-duplicated),100.0,,,,,,,,,,,,
20122013,Augusta Independent,--District Total--,All Students,100.0,,,,,,,,,,,,
20122013,Augusta Independent,--District Total--,Male,100.0,,,,,,,,,,,,
20122013,Augusta Independent,--District Total--,Female,100.0,,,,,,,,,,,,
20122013,Augusta Independent,--District Total--,White (Non-Hispanic),100.0,,,,,,,,,,,,
20122013,Augusta Independent,--District Total--,African American,***,,,,,,,,,,,,
20122013,Augusta Independent,--District Total--,Hispanic,***,,,,,,,,,,,,
20122013,Augusta Independent,--District Total--,Asian,***,,,,,,,,,,,,
20122013,Augusta Independent,--District Total--,American Indian or Alaska Native,***,,,,,,,,,,,,
20122013,Augusta Independent,--District Total--,Native Hawaiian or Other Pacific Islander,***,,,,,,,,,,,,
20122013,Augusta Independent,--District Total--,Two or more races,***,,,,,,,,,,,,
20122013,Augusta Independent,--District Total--,Migrant,***,,,,,,,,,,,,
20122013,Augusta Independent,--District Total--,Limited English Proficiency,***,,,,,,,,,,,,
20122013,Augusta Independent,--District Total--,Free/Reduced-Price Meals,100.0,,,,,,,,,,,,
20122013,Augusta Independent,--District Total--,Disability-With IEP (Total),***,,,,,,,,,,,,
20122013,Augusta Independent,--District Total--,Gap Group (non-duplicated),100.0,,,,,,,,,,,,
20122013,Ballard County,Ballard Memorial High School,All Students,92.4,,,,,,,,,,,,
20122013,Ballard County,Ballard Memorial High School,Male,97.6,,,,,,,,,,,,
20122013,Ballard County,Ballard Memorial High School,Female,88.2,,,,,,,,,,,,
20122013,Ballard County,Ballard Memorial High School,White (Non-Hispanic),93.2,,,,,,,,,,,,
20122013,Ballard County,Ballard Memorial High School,African American,***,,,,,,,,,,,,
20122013,Ballard County,Ballard Memorial High School,Hispanic,***,,,,,,,,,,,,
20122013,Ballard County,Ballard Memorial High School,Asian,***,,,,,,,,,,,,
20122013,Ballard County,Ballard Memorial High School,American Indian or Alaska Native,***,,,,,,,,,,,,
20122013,Ballard County,Ballard Memorial High School,Native Hawaiian or Other Pacific Islander,***,,,,,,,,,,,,
20122013,Ballard County,Ballard Memorial High School,Two or more races,***,,,,,,,,,,,,
20122013,Ballard County,Ballard Memorial High School,Migrant,***,,,,,,,,,,,,
20122013,Ballard County,Ballard Memorial High School,Limited English Proficiency,***,,,,,,,,,,,,
20122013,Ballard County,Ballard Memorial High School,Free/Reduced-Price Meals,85.4,,,,,,,,,,,,
20122013,Ballard County,Ballard Memorial High School,Disability-With IEP (Total),***,,,,,,,,,,,,
20122013,Ballard County,Ballard Memorial High School,Gap Group (non-duplicated),85.4,,,,,,,,,,,,
20122013,Ballard County,--District Total--,All Students,92.4,,,,,,,,,,,,
20122013,Ballard County,--District Total--,Male,97.6,,,,,,,,,,,,
20122013,Ballard County,--District Total--,Female,88.2,,,,,,,,,,,,
20122013,Ballard County,--District Total--,White (Non-Hispanic),93.2,,,,,,,,,,,,
20122013,Ballard County,--District Total--,African American,***,,,,,,,,,,,,
20122013,Ballard County,--District Total--,Hispanic,***,,,,,,,,,,,,
20122013,Ballard County,--District Total--,Asian,***,,,,,,,,,,,,
20122013,Ballard County,--District Total--,American Indian or Alaska Native,***,,,,,,,,,,,,
20122013,Ballard County,--District Total--,Native Hawaiian or Other Pacific Islander,***,,,,,,,,,,,,
20122013,Ballard County,--District Total--,Two or more races,***,,,,,,,,,,,,
20122013,Ballard County,--District Total--,Migrant,***,,,,,,,,,,,,
20122013,Ballard County,--District Total--,Limited English Proficiency,***,,,,,,,,,,,,
20122013,Ballard County,--District Total--,Free/Reduced-Price Meals,85.4,,,,,,,,,,,,
20122013,Ballard County,--District Total--,Disability-With IEP (Total),***,,,,,,,,,,,,
20122013,Ballard County,--District Total--,Gap Group (non-duplicated),85.4,,,,,,,,,,,,
20122013,Barbourville Independent,Barbourville City School,All Students,95.2,,,,,,,,,,,,
20122013,Barbourville Independent,Barbourville City School,Male,90.5,,,,,,,,,,,,
20122013,Barbourville Independent,Barbourville City School,Female,100.0,,,,,,,,,,,,
20122013,Barbourville Independent,Barbourville City School,White (Non-Hispanic),95.2,,,,,,,,,,,,
20122013,Barbourville Independent,Barbourville City School,African American,***,,,,,,,,,,,,
20122013,Barbourville Independent,Barbourville City School,Hispanic,***,,,,,,,,,,,,
20122013,Barbourville Independent,Barbourville City School,Asian,***,,,,,,,,,,,,
20122013,Barbourville Independent,Barbourville City School,American Indian or Alaska Native,***,,,,,,,,,,,,
20122013,Barbourville Independent,Barbourville City School,Native Hawaiian or Other Pacific Islander,***,,,,,,,,,,,,
20122013,Barbourville Independent,Barbourville City School,Two or more races,***,,,,,,,,,,,,
20122013,Barbourville Independent,Barbourville City School,Migrant,***,,,,,,,,,,,,
20122013,Barbourville Independent,Barbourville City School,Limited English Proficiency,***,,,,,,,,,,,,
20122013,Barbourville Independent,Barbourville City School,Free/Reduced-Price Meals,100.0,,,,,,,,,,,,
20122013,Barbourville Independent,Barbourville City School,Disability-With IEP (Total),***,,,,,,,,,,,,
20122013,Barbourville Independent,Barbourville City School,Gap Group (non-duplicated),100.0,,,,,,,,,,,,
20122013,Barbourville Independent,--District Total--,All Students,95.2,,,,,,,,,,,,
20122013,Barbourville Independent,--District Total--,Male,90.5,,,,,,,,,,,,
20122013,Barbourville Independent,--District Total--,Female,100.0,,,,,,,,,,,,
20122013,Barbourville Independent,--District Total--,White (Non-Hispanic),95.2,,,,,,,,,,,,
20122013,Barbourville Independent,--District Total--,African American,***,,,,,,,,,,,,
20122013,Barbourville Independent,--District Total--,Hispanic,***,,,,,,,,,,,,
20122013,Barbourville Independent,--District Total--,Asian,***,,,,,,,,,,,,
20122013,Barbourville Independent,--District Total--,American Indian or Alaska Native,***,,,,,,,,,,,,
20122013,Barbourville Independent,--District Total--,Native Hawaiian or Other Pacific Islander,***,,,,,,,,,,,,
20122013,Barbourville Independent,--District Total--,Two or more races,***,,,,,,,,,,,,
20122013,Barbourville Independent,--District Total--,Migrant,***,,,,,,,,,,,,
20122013,Barbourville Independent,--District Total--,Limited English Proficiency,***,,,,,,,,,,,,
20122013,Barbourville Independent,--District Total--,Free/Reduced-Price Meals,100.0,,,,,,,,,,,,
20122013,Barbourville Independent,--District Total--,Disability-With IEP (Total),***,,,,,,,,,,,,
20122013,Barbourville Independent,--District Total--,Gap Group (non-duplicated),100.0,,,,,,,,,,,,
20122013,Bardstown Independent,Bardstown High School,All Students,83.9,,,,,,,,,,,,
20122013,Bardstown Independent,Bardstown High School,Male,80.6,,,,,,,,,,,,
20122013,Bardstown Independent,Bardstown High School,Female,87.0,,,,,,,,,,,,
20122013,Bardstown Independent,Bardstown High School,White (Non-Hispanic),77.8,,,,,,,,,,,,
20122013,Bardstown Independent,Bardstown High School,African American,100.0,,,,,,,,,,,,
20122013,Bardstown Independent,Bardstown High School,Hispanic,***,,,,,,,,,,,,
20122013,Bardstown Independent,Bardstown High School,Asian,***,,,,,,,,,,,,
20122013,Bardstown Independent,Bardstown High School,American Indian or Alaska Native,***,,,,,,,,,,,,
20122013,Bardstown Independent,Bardstown High School,Native Hawaiian or Other Pacific Islander,***,,,,,,,,,,,,
20122013,Bardstown Independent,Bardstown High School,Two or more races,***,,,,,,,,,,,,
20122013,Bardstown Independent,Bardstown High School,Migrant,***,,,,,,,,,,,,
20122013,Bardstown Independent,Bardstown High School,Limited English Proficiency,***,,,,,,,,,,,,
20122013,Bardstown Independent,Bardstown High School,Free/Reduced-Price Meals,90.2,,,,,,,,,,,,
20122013,Bardstown Independent,Bardstown High School,Disability-With IEP (Total),81.8,,,,,,,,,,,,
20122013,Bardstown Independent,Bardstown High School,Gap Group (non-duplicated),90.4,,,,,,,,,,,,
20122013,Bardstown Independent,--District Total--,All Students,83.9,,,,,,,,,,,,
20122013,Bardstown Independent,--District Total--,Male,80.6,,,,,,,,,,,,
20122013,Bardstown Independent,--District Total--,Female,87.0,,,,,,,,,,,,
20122013,Bardstown Independent,--District Total--,White (Non-Hispanic),77.8,,,,,,,,,,,,
20122013,Bardstown Independent,--District Total--,African American,100.0,,,,,,,,,,,,
20122013,Bardstown Independent,--District Total--,Hispanic,***,,,,,,,,,,,,
20122013,Bardstown Independent,--District Total--,Asian,***,,,,,,,,,,,,
20122013,Bardstown Independent,--District Total--,American Indian or Alaska Native,***,,,,,,,,,,,,
20122013,Bardstown Independent,--District Total--,Native Hawaiian or Other Pacific Islander,***,,,,,,,,,,,,
20122013,Bardstown Independent,--District Total--,Two or more races,***,,,,,,,,,,,,
20122013,Bardstown Independent,--District Total--,Migrant,***,,,,,,,,,,,,
20122013,Bardstown Independent,--District Total--,Limited English Proficiency,***,,,,,,,,,,,,
20122013,Bardstown Independent,--District Total--,Free/Reduced-Price Meals,90.2,,,,,,,,,,,,
20122013,Bardstown Independent,--District Total--,Disability-With IEP (Total),81.8,,,,,,,,,,,,
20122013,Bardstown Independent,--District Total--,Gap Group (non-duplicated),90.4,,,,,,,,,,,,
20122013,Barren County,Barren County High School,All Students,95.4,,,,,,,,,,,,
20122013,Barren County,Barren County High School,Male,96.2,,,,,,,,,,,,
20122013,Barren County,Barren County High School,Female,94.5,,,,,,,,,,,,
20122013,Barren County,Barren County High School,White (Non-Hispanic),95.8,,,,,,,,,,,,
20122013,Barren County,Barren County High School,African American,***,,,,,,,,,,,,
20122013,Barren County,Barren County High School,Hispanic,***,,,,,,,,,,,,
20122013,Barren County,Barren County High School,Asian,***,,,,,,,,,,,,
20122013,Barren County,Barren County High School,American Indian or Alaska Native,***,,,,,,,,,,,,
20122013,Barren County,Barren County High School,Native Hawaiian or Other Pacific Islander,***,,,,,,,,,,,,
20122013,Barren County,Barren County High School,Two or more races,***,,,,,,,,,,,,
20122013,Barren County,Barren County High School,Migrant,***,,,,,,,,,,,,
20122013,Barren County,Barren County High School,Limited English Proficiency,***,,,,,,,,,,,,
20122013,Barren County,Barren County High School,Free/Reduced-Price Meals,92.9,,,,,,,,,,,,
20122013,Barren County,Barren County High School,Disability-With IEP (Total),85.7,,,,,,,,,,,,
20122013,Barren County,Barren County High School,Gap Group (non-duplicated),92.5,,,,,,,,,,,,
20122013,Barren County,--District Total--,All Students,84.4,,,,,,,,,,,,
20122013,Barren County,--District Total--,Male,83.9,,,,,,,,,,,,
20122013,Barren County,--District Total--,Female,84.8,,,,,,,,,,,,
20122013,Barren County,--District Total--,White (Non-Hispanic),85.2,,,,,,,,,,,,
20122013,Barren County,--District Total--,African American,***,,,,,,,,,,,,
20122013,Barren County,--District Total--,Hispanic,***,,,,,,,,,,,,
20122013,Barren County,--District Total--,Asian,***,,,,,,,,,,,,
20122013,Barren County,--District Total--,American Indian or Alaska Native,***,,,,,,,,,,,,
20122013,Barren County,--District Total--,Native Hawaiian or Other Pacific Islander,***,,,,,,,,,,,,
20122013,Barren County,--District Total--,Two or more races,***,,,,,,,,,,,,
20122013,Barren County,--District Total--,Migrant,***,,,,,,,,,,,,
20122013,Barren County,--District Total--,Limited English Proficiency,***,,,,,,,,,,,,
20122013,Barren County,--District Total--,Free/Reduced-Price Meals,85.5,,,,,,,,,,,,
20122013,Barren County,--District Total--,Disability-With IEP (Total),80.0,,,,,,,,,,,,
20122013,Barren County,--District Total--,Gap Group (non-duplicated),84.0,,,,,,,,,,,,
20122013,Bath County,Bath County High School,All Students,86.9,,,,,,,,,,,,
20122013,Bath County,Bath County High School,Male,87.6,,,,,,,,,,,,
20122013,Bath County,Bath County High School,Female,85.9,,,,,,,,,,,,
20122013,Bath County,Bath County High School,White (Non-Hispanic),86.8,,,,,,,,,,,,
20122013,Bath County,Bath County High School,African American,***,,,,,,,,,,,,
20122013,Bath County,Bath County High School,Hispanic,***,,,,,,,,,,,,
20122013,Bath County,Bath County High School,Asian,***,,,,,,,,,,,,
20122013,Bath County,Bath County High School,American Indian or Alaska Native,***,,,,,,,,,,,,
20122013,Bath County,Bath County High School,Native Hawaiian or Other Pacific Islander,***,,,,,,,,,,,,
20122013,Bath County,Bath County High School,Two or more races,***,,,,,,,,,,,,
20122013,Bath County,Bath County High School,Migrant,***,,,,,,,,,,,,
20122013,Bath County,Bath County High School,Limited English Proficiency,***,,,,,,,,,,,,
20122013,Bath County,Bath County High School,Free/Reduced-Price Meals,85.6,,,,,,,,,,,,
20122013,Bath County,Bath County High School,Disability-With IEP (Total),***,,,,,,,,,,,,
20122013,Bath County,Bath County High School,Gap Group (non-duplicated),85.7,,,,,,,,,,,,
20122013,Bath County,--District Total--,All Students,86.9,,,,,,,,,,,,
20122013,Bath County,--District Total--,Male,87.6,,,,,,,,,,,,
20122013,Bath County,--District Total--,Female,85.9,,,,,,,,,,,,
20122013,Bath County,--District Total--,White (Non-Hispanic),86.8,,,,,,,,,,,,
20122013,Bath County,--District Total--,African American,***,,,,,,,,,,,,
20122013,Bath County,--District Total--,Hispanic,***,,,,,,,,,,,,
20122013,Bath County,--District Total--,Asian,***,,,,,,,,,,,,
20122013,Bath County,--District Total--,American Indian or Alaska Native,***,,,,,,,,,,,,
20122013,Bath County,--District Total--,Native Hawaiian or Other Pacific Islander,***,,,,,,,,,,,,
20122013,Bath County,--District Total--,Two or more races,***,,,,,,,,,,,,
20122013,Bath County,--District Total--,Migrant,***,,,,,,,,,,,,
20122013,Bath County,--District Total--,Limited English Proficiency,***,,,,,,,,,,,,
20122013,Bath County,--District Total--,Free/Reduced-Price Meals,85.6,,,,,,,,,,,,
20122013,Bath County,--District Total--,Disability-With IEP (Total),***,,,,,,,,,,,,
20122013,Bath County,--District Total--,Gap Group (non-duplicated),85.7,,,,,,,,,,,,
20122013,Beechwood Independent,Beechwood High School,All Students,98.8,,,,,,,,,,,,
20122013,Beechwood Independent,Beechwood High School,Male,100.0,,,,,,,,,,,,
20122013,Beechwood Independent,Beechwood High School,Female,97.4,,,,,,,,,,,,
20122013,Beechwood Independent,Beechwood High School,White (Non-Hispanic),98.8,,,,,,,,,,,,
20122013,Beechwood Independent,Beechwood High School,African American,***,,,,,,,,,,,,
20122013,Beechwood Independent,Beechwood High School,Hispanic,***,,,,,,,,,,,,
20122013,Beechwood Independent,Beechwood High School,Asian,***,,,,,,,,,,,,
20122013,Beechwood Independent,Beechwood High School,American Indian or Alaska Native,***,,,,,,,,,,,,
20122013,Beechwood Independent,Beechwood High School,Native Hawaiian or Other Pacific Islander,***,,,,,,,,,,,,
20122013,Beechwood Independent,Beechwood High School,Two or more races,***,,,,,,,,,,,,
20122013,Beechwood Independent,Beechwood High School,Migrant,***,,,,,,,,,,,,
20122013,Beechwood Independent,Beechwood High School,Limited English Proficiency,***,,,,,,,,,,,,
20122013,Beechwood Independent,Beechwood High School,Free/Reduced-Price Meals,92.3,,,,,,,,,,,,
20122013,Beechwood Independent,Beechwood High School,Disability-With IEP (Total),***,,,,,,,,,,,,
20122013,Beechwood Independent,Beechwood High School,Gap Group (non-duplicated),94.4,,,,,,,,,,,,
20122013,Beechwood Independent,--District Total--,All Students,98.8,,,,,,,,,,,,
20122013,Beechwood Independent,--District Total--,Male,100.0,,,,,,,,,,,,
20122013,Beechwood Independent,--District Total--,Female,97.4,,,,,,,,,,,,
20122013,Beechwood Independent,--District Total--,White (Non-Hispanic),98.8,,,,,,,,,,,,
20122013,Beechwood Independent,--District Total--,African American,***,,,,,,,,,,,,
20122013,Beechwood Independent,--District Total--,Hispanic,***,,,,,,,,,,,,
20122013,Beechwood Independent,--District Total--,Asian,***,,,,,,,,,,,,
20122013,Beechwood Independent,--District Total--,American Indian or Alaska Native,***,,,,,,,,,,,,
20122013,Beechwood Independent,--District Total--,Native Hawaiian or Other Pacific Islander,***,,,,,,,,,,,,
20122013,Beechwood Independent,--District Total--,Two or more races,***,,,,,,,,,,,,
20122013,Beechwood Independent,--District Total--,Migrant,***,,,,,,,,,,,,
20122013,Beechwood Independent,--District Total--,Limited English Proficiency,***,,,,,,,,,,,,
20122013,Beechwood Independent,--District Total--,Free/Reduced-Price Meals,92.3,,,,,,,,,,,,
20122013,Beechwood Independent,--District Total--,Disability-With IEP (Total),***,,,,,,,,,,,,
20122013,Beechwood Independent,--District Total--,Gap Group (non-duplicated),94.4,,,,,,,,,,,,
20122013,Bell County,Bell County High School,All Students,93.1,,,,,,,,,,,,
20122013,Bell County,Bell County High School,Male,95.7,,,,,,,,,,,,
20122013,Bell County,Bell County High School,Female,90.5,,,,,,,,,,,,
20122013,Bell County,Bell County High School,White (Non-Hispanic),93.0,,,,,,,,,,,,
