Location,TimeFrame,CHILD_FOODINSECURE_PCT
Pulaski,2017,0.213
Robertson,2011,0.268
Robertson,2013,0.262
Robertson,2014,0.286
Robertson,2015,0.254
Robertson,2016,0.257
Robertson,2017,0.286
Rockcastle,2011,0.267
Rockcastle,2013,0.252
Rockcastle,2014,0.245
Rockcastle,2015,0.225
Rockcastle,2016,0.213
Rockcastle,2017,0.209
Rowan,2011,0.251
Rowan,2013,0.253
Rowan,2014,0.247
Rowan,2015,0.229
Rowan,2016,0.211
Rowan,2017,0.221
Russell,2011,0.221
Russell,2013,0.257
Russell,2014,0.265
Russell,2015,0.272
Russell,2016,0.245
Russell,2017,0.233
Scott,2011,0.178
Scott,2013,0.183
Scott,2014,0.159
Scott,2015,0.149
Scott,2016,0.143
Scott,2017,0.149
Shelby,2011,0.171
Shelby,2013,0.175
Shelby,2014,0.162
Shelby,2015,0.151
Shelby,2016,0.147
Shelby,2017,0.15
Simpson,2011,0.179
Simpson,2013,0.216
Simpson,2014,0.208
Simpson,2015,0.202
Simpson,2016,0.197
Simpson,2017,0.197
Spencer,2011,0.14
Spencer,2013,0.159
Spencer,2014,0.143
Spencer,2015,0.132
Spencer,2016,0.13
Spencer,2017,0.131
Taylor,2011,0.23
Taylor,2013,0.253
Taylor,2014,0.254
Taylor,2015,0.242
Taylor,2016,0.238
Taylor,2017,0.222
Todd,2011,0.224
Todd,2013,0.212
Todd,2014,0.199
Todd,2015,0.18
Todd,2016,0.17
Todd,2017,0.182
Trigg,2011,0.208
Trigg,2013,0.224
Trigg,2014,0.207
Trigg,2015,0.207
Trigg,2016,0.203
Trigg,2017,0.199
Trimble,2011,0.186
Trimble,2013,0.206
Trimble,2014,0.196
Trimble,2015,0.187
Trimble,2016,0.177
Trimble,2017,0.188
Union,2011,0.194
Union,2013,0.232
Union,2014,0.247
Union,2015,0.221
Union,2016,0.21
Union,2017,0.2
Warren,2011,0.193
Warren,2013,0.202
Warren,2014,0.194
Warren,2015,0.179
Warren,2016,0.176
Warren,2017,0.173
Washington,2011,0.189
Washington,2013,0.199
Washington,2014,0.182
Washington,2015,0.168
Washington,2016,0.161
Washington,2017,0.164
Wayne,2011,0.283
Wayne,2013,0.274
Wayne,2014,0.27
Wayne,2015,0.252
Wayne,2016,0.231
Wayne,2017,0.226
Webster,2011,0.176
Webster,2013,0.197
Webster,2014,0.187
Webster,2015,0.197
Webster,2016,0.211
Webster,2017,0.221
Whitley,2011,0.26
Whitley,2013,0.271
Whitley,2014,0.257
Whitley,2015,0.242
Whitley,2016,0.236
Whitley,2017,0.22
Wolfe,2011,0.357
Wolfe,2013,0.354
Wolfe,2014,0.37
Wolfe,2015,0.324
Wolfe,2016,0.319
Wolfe,2017,0.28
Woodford,2011,0.172
Woodford,2013,0.172
Woodford,2014,0.16
Woodford,2015,0.156
Woodford,2016,0.172
Woodford,2017,0.177
