SCH_YEAR,SCH_CD,DIST_NAME,SCH_NAME,DISAGG_LABEL,FOUR_YEAR_GRADRATE
20112012,013011,Augusta Independent,Augusta Independent School,Two or more races,***
20112012,013,Augusta Independent,--District Total--,All Students,100.0
20112012,013,Augusta Independent,--District Total--,Male,***
20112012,013,Augusta Independent,--District Total--,Female,***
20112012,013,Augusta Independent,--District Total--,White (Non-Hispanic),***
20112012,013,Augusta Independent,--District Total--,African American,***
20112012,013,Augusta Independent,--District Total--,Hispanic,***
20112012,013,Augusta Independent,--District Total--,Asian,***
20112012,013,Augusta Independent,--District Total--,American Indian or Alaska Native,***
20112012,013,Augusta Independent,--District Total--,Two or more races,***
20112012,015010,Ballard County,Ballard Memorial High School,All Students,88.3
20112012,015010,Ballard County,Ballard Memorial High School,Male,86.0
20112012,015010,Ballard County,Ballard Memorial High School,Female,90.4
20112012,015010,Ballard County,Ballard Memorial High School,White (Non-Hispanic),84.7
20112012,015010,Ballard County,Ballard Memorial High School,African American,***
20112012,015010,Ballard County,Ballard Memorial High School,Hispanic,***
20112012,015010,Ballard County,Ballard Memorial High School,Asian,***
20112012,015010,Ballard County,Ballard Memorial High School,American Indian or Alaska Native,***
20112012,015010,Ballard County,Ballard Memorial High School,Two or more races,***
20112012,015,Ballard County,--District Total--,All Students,88.3
20112012,015,Ballard County,--District Total--,Male,86.0
20112012,015,Ballard County,--District Total--,Female,90.4
20112012,015,Ballard County,--District Total--,White (Non-Hispanic),84.7
20112012,015,Ballard County,--District Total--,African American,***
20112012,015,Ballard County,--District Total--,Hispanic,***
20112012,015,Ballard County,--District Total--,Asian,***
20112012,015,Ballard County,--District Total--,American Indian or Alaska Native,***
20112012,015,Ballard County,--District Total--,Two or more races,***
20112012,016011,Barbourville Independent,Barbourville City School,All Students,94.8
20112012,016011,Barbourville Independent,Barbourville City School,Male,***
20112012,016011,Barbourville Independent,Barbourville City School,Female,87.7
20112012,016011,Barbourville Independent,Barbourville City School,White (Non-Hispanic),91.7
20112012,016011,Barbourville Independent,Barbourville City School,African American,***
20112012,016011,Barbourville Independent,Barbourville City School,Hispanic,***
20112012,016011,Barbourville Independent,Barbourville City School,Asian,***
20112012,016011,Barbourville Independent,Barbourville City School,American Indian or Alaska Native,***
20112012,016011,Barbourville Independent,Barbourville City School,Two or more races,***
20112012,016,Barbourville Independent,--District Total--,All Students,94.8
20112012,016,Barbourville Independent,--District Total--,Male,***
20112012,016,Barbourville Independent,--District Total--,Female,87.7
20112012,016,Barbourville Independent,--District Total--,White (Non-Hispanic),91.7
20112012,016,Barbourville Independent,--District Total--,African American,***
20112012,016,Barbourville Independent,--District Total--,Hispanic,***
20112012,016,Barbourville Independent,--District Total--,Asian,***
20112012,016,Barbourville Independent,--District Total--,American Indian or Alaska Native,***
20112012,016,Barbourville Independent,--District Total--,Two or more races,***
20112012,017020,Bardstown Independent,Bardstown High School,All Students,81.3
20112012,017020,Bardstown Independent,Bardstown High School,Male,75.2
20112012,017020,Bardstown Independent,Bardstown High School,Female,89.3
20112012,017020,Bardstown Independent,Bardstown High School,White (Non-Hispanic),77.5
20112012,017020,Bardstown Independent,Bardstown High School,African American,80.0
20112012,017020,Bardstown Independent,Bardstown High School,Hispanic,***
20112012,017020,Bardstown Independent,Bardstown High School,Asian,***
20112012,017020,Bardstown Independent,Bardstown High School,American Indian or Alaska Native,***
20112012,017020,Bardstown Independent,Bardstown High School,Two or more races,***
20112012,017,Bardstown Independent,--District Total--,All Students,81.3
20112012,017,Bardstown Independent,--District Total--,Male,75.2
20112012,017,Bardstown Independent,--District Total--,Female,89.3
20112012,017,Bardstown Independent,--District Total--,White (Non-Hispanic),77.5
20112012,017,Bardstown Independent,--District Total--,African American,80.0
20112012,017,Bardstown Independent,--District Total--,Hispanic,***
20112012,017,Bardstown Independent,--District Total--,Asian,***
20112012,017,Bardstown Independent,--District Total--,American Indian or Alaska Native,***
20112012,017,Bardstown Independent,--District Total--,Two or more races,***
20112012,021027,Barren County,Barren County High School,All Students,74.7
20112012,021027,Barren County,Barren County High School,Male,70.2
20112012,021027,Barren County,Barren County High School,Female,79.4
20112012,021027,Barren County,Barren County High School,White (Non-Hispanic),73.8
20112012,021027,Barren County,Barren County High School,African American,***
20112012,021027,Barren County,Barren County High School,Hispanic,***
20112012,021027,Barren County,Barren County High School,Asian,***
20112012,021027,Barren County,Barren County High School,American Indian or Alaska Native,***
20112012,021027,Barren County,Barren County High School,Two or more races,***
20112012,021,Barren County,--District Total--,All Students,79.5
20112012,021,Barren County,--District Total--,Male,74.0
20112012,021,Barren County,--District Total--,Female,85.7
20112012,021,Barren County,--District Total--,White (Non-Hispanic),78.9
20112012,021,Barren County,--District Total--,African American,***
20112012,021,Barren County,--District Total--,Hispanic,***
20112012,021,Barren County,--District Total--,Asian,***
20112012,021,Barren County,--District Total--,American Indian or Alaska Native,***
20112012,021,Barren County,--District Total--,Two or more races,***
20112012,025040,Bath County,Bath County High School,All Students,77.6
20112012,025040,Bath County,Bath County High School,Male,75.5
20112012,025040,Bath County,Bath County High School,Female,79.5
20112012,025040,Bath County,Bath County High School,White (Non-Hispanic),76.5
20112012,025040,Bath County,Bath County High School,African American,***
20112012,025040,Bath County,Bath County High School,Hispanic,***
20112012,025040,Bath County,Bath County High School,Asian,***
20112012,025040,Bath County,Bath County High School,American Indian or Alaska Native,***
20112012,025040,Bath County,Bath County High School,Two or more races,***
20112012,025,Bath County,--District Total--,All Students,77.6
20112012,025,Bath County,--District Total--,Male,75.5
20112012,025,Bath County,--District Total--,Female,79.5
20112012,025,Bath County,--District Total--,White (Non-Hispanic),76.5
20112012,025,Bath County,--District Total--,African American,***
20112012,025,Bath County,--District Total--,Hispanic,***
20112012,025,Bath County,--District Total--,Asian,***
20112012,025,Bath County,--District Total--,American Indian or Alaska Native,***
20112012,025,Bath County,--District Total--,Two or more races,***
20112012,026020,Beechwood Independent,Beechwood High School,All Students,100.0
20112012,026020,Beechwood Independent,Beechwood High School,Male,97.8
20112012,026020,Beechwood Independent,Beechwood High School,Female,100.0
20112012,026020,Beechwood Independent,Beechwood High School,White (Non-Hispanic),100.0
20112012,026020,Beechwood Independent,Beechwood High School,African American,***
20112012,026020,Beechwood Independent,Beechwood High School,Hispanic,***
20112012,026020,Beechwood Independent,Beechwood High School,Asian,***
20112012,026020,Beechwood Independent,Beechwood High School,American Indian or Alaska Native,***
20112012,026020,Beechwood Independent,Beechwood High School,Two or more races,***
20112012,026,Beechwood Independent,--District Total--,All Students,100.0
20112012,026,Beechwood Independent,--District Total--,Male,97.8
20112012,026,Beechwood Independent,--District Total--,Female,100.0
20112012,026,Beechwood Independent,--District Total--,White (Non-Hispanic),100.0
20112012,026,Beechwood Independent,--District Total--,African American,***
20112012,026,Beechwood Independent,--District Total--,Hispanic,***
20112012,026,Beechwood Independent,--District Total--,Asian,***
20112012,026,Beechwood Independent,--District Total--,American Indian or Alaska Native,***
20112012,026,Beechwood Independent,--District Total--,Two or more races,***
20112012,031040,Bell County,Bell County High School,All Students,74.0
20112012,031040,Bell County,Bell County High School,Male,74.0
20112012,031040,Bell County,Bell County High School,Female,74.0
20112012,031040,Bell County,Bell County High School,White (Non-Hispanic),74.6
20112012,031040,Bell County,Bell County High School,African American,***
20112012,031040,Bell County,Bell County High School,Hispanic,***
20112012,031040,Bell County,Bell County High School,Asian,***
20112012,031040,Bell County,Bell County High School,American Indian or Alaska Native,***
20112012,031040,Bell County,Bell County High School,Two or more races,***
20112012,031,Bell County,--District Total--,All Students,73.7
20112012,031,Bell County,--District Total--,Male,72.6
20112012,031,Bell County,--District Total--,Female,74.7
20112012,031,Bell County,--District Total--,White (Non-Hispanic),74.5
20112012,031,Bell County,--District Total--,African American,***
20112012,031,Bell County,--District Total--,Hispanic,***
20112012,031,Bell County,--District Total--,Asian,***
20112012,031,Bell County,--District Total--,American Indian or Alaska Native,***
20112012,031,Bell County,--District Total--,Two or more races,***
20112012,032010,Bellevue Independent,Bellevue High School,All Students,81.8
20112012,032010,Bellevue Independent,Bellevue High School,Male,77.4
20112012,032010,Bellevue Independent,Bellevue High School,Female,85.3
20112012,032010,Bellevue Independent,Bellevue High School,White (Non-Hispanic),82.4
20112012,032010,Bellevue Independent,Bellevue High School,African American,***
20112012,032010,Bellevue Independent,Bellevue High School,Hispanic,***
20112012,032010,Bellevue Independent,Bellevue High School,Asian,***
20112012,032010,Bellevue Independent,Bellevue High School,American Indian or Alaska Native,***
20112012,032010,Bellevue Independent,Bellevue High School,Two or more races,***
20112012,032,Bellevue Independent,--District Total--,All Students,81.8
20112012,032,Bellevue Independent,--District Total--,Male,77.4
20112012,032,Bellevue Independent,--District Total--,Female,85.3
20112012,032,Bellevue Independent,--District Total--,White (Non-Hispanic),82.4
20112012,032,Bellevue Independent,--District Total--,African American,***
20112012,032,Bellevue Independent,--District Total--,Hispanic,***
20112012,032,Bellevue Independent,--District Total--,Asian,***
20112012,032,Bellevue Independent,--District Total--,American Indian or Alaska Native,***
20112012,032,Bellevue Independent,--District Total--,Two or more races,***
20112012,034020,Berea Independent,Berea Community High School,All Students,80.0
20112012,034020,Berea Independent,Berea Community High School,Male,85.1
20112012,034020,Berea Independent,Berea Community High School,Female,73.8
20112012,034020,Berea Independent,Berea Community High School,White (Non-Hispanic),80.0
20112012,034020,Berea Independent,Berea Community High School,African American,***
20112012,034020,Berea Independent,Berea Community High School,Hispanic,***
20112012,034020,Berea Independent,Berea Community High School,Asian,***
20112012,034020,Berea Independent,Berea Community High School,American Indian or Alaska Native,***
20112012,034020,Berea Independent,Berea Community High School,Two or more races,***
20112012,034,Berea Independent,--District Total--,All Students,80.0
20112012,034,Berea Independent,--District Total--,Male,85.1
20112012,034,Berea Independent,--District Total--,Female,73.8
20112012,034,Berea Independent,--District Total--,White (Non-Hispanic),80.0
20112012,034,Berea Independent,--District Total--,African American,***
20112012,034,Berea Independent,--District Total--,Hispanic,***
20112012,034,Berea Independent,--District Total--,Asian,***
20112012,034,Berea Independent,--District Total--,American Indian or Alaska Native,***
20112012,034,Berea Independent,--District Total--,Two or more races,***
20112012,035030,Boone County,Boone County High School,All Students,70.2
20112012,035030,Boone County,Boone County High School,Male,68.7
20112012,035030,Boone County,Boone County High School,Female,71.8
20112012,035030,Boone County,Boone County High School,White (Non-Hispanic),70.0
20112012,035030,Boone County,Boone County High School,African American,***
20112012,035030,Boone County,Boone County High School,Hispanic,***
20112012,035030,Boone County,Boone County High School,Asian,***
20112012,035030,Boone County,Boone County High School,American Indian or Alaska Native,***
20112012,035030,Boone County,Boone County High School,Two or more races,***
20112012,035045,Boone County,Conner High School,All Students,80.3
20112012,035045,Boone County,Conner High School,Male,
20112012,035045,Boone County,Conner High School,Female,
20112012,035045,Boone County,Conner High School,White (Non-Hispanic),
20112012,035045,Boone County,Conner High School,African American,
20112012,035045,Boone County,Conner High School,Hispanic,
20112012,035045,Boone County,Conner High School,Asian,
20112012,035045,Boone County,Conner High School,American Indian or Alaska Native,
20112012,035045,Boone County,Conner High School,Two or more races,
20112012,035071,Boone County,Larry A. Ryle High School,All Students,78.0
20112012,035071,Boone County,Larry A. Ryle High School,Male,77.3
20112012,035071,Boone County,Larry A. Ryle High School,Female,78.8
20112012,035071,Boone County,Larry A. Ryle High School,White (Non-Hispanic),77.6
20112012,035071,Boone County,Larry A. Ryle High School,African American,***
20112012,035071,Boone County,Larry A. Ryle High School,Hispanic,***
20112012,035071,Boone County,Larry A. Ryle High School,Asian,***
20112012,035071,Boone County,Larry A. Ryle High School,American Indian or Alaska Native,***
20112012,035071,Boone County,Larry A. Ryle High School,Two or more races,***
20112012,035015,Boone County,Randall K. Cooper High School,All Students,80.3
20112012,035015,Boone County,Randall K. Cooper High School,Male,
20112012,035015,Boone County,Randall K. Cooper High School,Female,
20112012,035015,Boone County,Randall K. Cooper High School,White (Non-Hispanic),
20112012,035015,Boone County,Randall K. Cooper High School,African American,
20112012,035015,Boone County,Randall K. Cooper High School,Hispanic,
20112012,035015,Boone County,Randall K. Cooper High School,Asian,
20112012,035015,Boone County,Randall K. Cooper High School,American Indian or Alaska Native,
20112012,035015,Boone County,Randall K. Cooper High School,Native Hawaiian or Other Pacific Islander,
20112012,035015,Boone County,Randall K. Cooper High School,Two or more races,
20112012,035,Boone County,--District Total--,All Students,80.3
20112012,035,Boone County,--District Total--,Male,78.4
20112012,035,Boone County,--District Total--,Female,82.4
20112012,035,Boone County,--District Total--,White (Non-Hispanic),79.6
20112012,035,Boone County,--District Total--,African American,87.2
20112012,035,Boone County,--District Total--,Hispanic,100.0
20112012,035,Boone County,--District Total--,Asian,70.6
20112012,035,Boone County,--District Total--,American Indian or Alaska Native,***
20112012,035,Boone County,--District Total--,Native Hawaiian or Other Pacific Islander,***
20112012,035,Boone County,--District Total--,Two or more races,***
20112012,041110,Bourbon County,Bourbon County High School,All Students,81.1
20112012,041110,Bourbon County,Bourbon County High School,Male,82.7
20112012,041110,Bourbon County,Bourbon County High School,Female,79.5
20112012,041110,Bourbon County,Bourbon County High School,White (Non-Hispanic),79.6
20112012,041110,Bourbon County,Bourbon County High School,African American,***
20112012,041110,Bourbon County,Bourbon County High School,Hispanic,***
20112012,041110,Bourbon County,Bourbon County High School,Asian,***
20112012,041110,Bourbon County,Bourbon County High School,American Indian or Alaska Native,***
20112012,041110,Bourbon County,Bourbon County High School,Two or more races,***
20112012,041,Bourbon County,--District Total--,All Students,81.1
20112012,041,Bourbon County,--District Total--,Male,82.7
20112012,041,Bourbon County,--District Total--,Female,79.5
20112012,041,Bourbon County,--District Total--,White (Non-Hispanic),79.6
20112012,041,Bourbon County,--District Total--,African American,***
20112012,041,Bourbon County,--District Total--,Hispanic,***
20112012,041,Bourbon County,--District Total--,Asian,***
20112012,041,Bourbon County,--District Total--,American Indian or Alaska Native,***
20112012,041,Bourbon County,--District Total--,Two or more races,***
20112012,042070,Bowling Green Independent,Bowling Green High School,All Students,80.7
20112012,042070,Bowling Green Independent,Bowling Green High School,Male,73.2
20112012,042070,Bowling Green Independent,Bowling Green High School,Female,88.4
20112012,042070,Bowling Green Independent,Bowling Green High School,White (Non-Hispanic),83.2
20112012,042070,Bowling Green Independent,Bowling Green High School,African American,69.8
20112012,042070,Bowling Green Independent,Bowling Green High School,Hispanic,***
20112012,042070,Bowling Green Independent,Bowling Green High School,Asian,***
20112012,042070,Bowling Green Independent,Bowling Green High School,American Indian or Alaska Native,***
20112012,042070,Bowling Green Independent,Bowling Green High School,Native Hawaiian or Other Pacific Islander,***
20112012,042070,Bowling Green Independent,Bowling Green High School,Two or more races,***
20112012,042,Bowling Green Independent,--District Total--,All Students,79.3
20112012,042,Bowling Green Independent,--District Total--,Male,72.1
20112012,042,Bowling Green Independent,--District Total--,Female,86.7
20112012,042,Bowling Green Independent,--District Total--,White (Non-Hispanic),81.0
20112012,042,Bowling Green Independent,--District Total--,African American,70.3
20112012,042,Bowling Green Independent,--District Total--,Hispanic,***
20112012,042,Bowling Green Independent,--District Total--,Asian,***
20112012,042,Bowling Green Independent,--District Total--,American Indian or Alaska Native,***
20112012,042,Bowling Green Independent,--District Total--,Native Hawaiian or Other Pacific Islander,***
20112012,042,Bowling Green Independent,--District Total--,Two or more races,***
20112012,045010,Boyd County,Boyd County High School,All Students,90.3
20112012,045010,Boyd County,Boyd County High School,Male,87.5
20112012,045010,Boyd County,Boyd County High School,Female,93.1
20112012,045010,Boyd County,Boyd County High School,White (Non-Hispanic),90.1
20112012,045010,Boyd County,Boyd County High School,African American,***
20112012,045010,Boyd County,Boyd County High School,Hispanic,***
20112012,045010,Boyd County,Boyd County High School,Asian,***
20112012,045010,Boyd County,Boyd County High School,American Indian or Alaska Native,***
20112012,045010,Boyd County,Boyd County High School,Two or more races,***
20112012,045,Boyd County,--District Total--,All Students,90.3
20112012,045,Boyd County,--District Total--,Male,87.5
20112012,045,Boyd County,--District Total--,Female,93.1
20112012,045,Boyd County,--District Total--,White (Non-Hispanic),90.1
20112012,045,Boyd County,--District Total--,African American,***
20112012,045,Boyd County,--District Total--,Hispanic,***
20112012,045,Boyd County,--District Total--,Asian,***
20112012,045,Boyd County,--District Total--,American Indian or Alaska Native,***
20112012,045,Boyd County,--District Total--,Two or more races,***
20112012,051005,Boyle County,Boyle County High School,All Students,92.1
20112012,051005,Boyle County,Boyle County High School,Male,96.6
20112012,051005,Boyle County,Boyle County High School,Female,87.2
20112012,051005,Boyle County,Boyle County High School,White (Non-Hispanic),92.1
20112012,051005,Boyle County,Boyle County High School,African American,***
20112012,051005,Boyle County,Boyle County High School,Hispanic,***
20112012,051005,Boyle County,Boyle County High School,Asian,***
20112012,051005,Boyle County,Boyle County High School,American Indian or Alaska Native,***
20112012,051005,Boyle County,Boyle County High School,Two or more races,***
20112012,051,Boyle County,--District Total--,All Students,92.1
20112012,051,Boyle County,--District Total--,Male,96.6
20112012,051,Boyle County,--District Total--,Female,87.2
20112012,051,Boyle County,--District Total--,White (Non-Hispanic),92.1
20112012,051,Boyle County,--District Total--,African American,***
20112012,051,Boyle County,--District Total--,Hispanic,***
20112012,051,Boyle County,--District Total--,Asian,***
20112012,051,Boyle County,--District Total--,American Indian or Alaska Native,***
20112012,051,Boyle County,--District Total--,Two or more races,***
20112012,055010,Bracken County,Bracken County High School,All Students,77.3
20112012,055010,Bracken County,Bracken County High School,Male,75.0
20112012,055010,Bracken County,Bracken County High School,Female,80.4
20112012,055010,Bracken County,Bracken County High School,White (Non-Hispanic),77.3
20112012,055010,Bracken County,Bracken County High School,African American,***
20112012,055010,Bracken County,Bracken County High School,Hispanic,***
20112012,055010,Bracken County,Bracken County High School,Asian,***
20112012,055010,Bracken County,Bracken County High School,American Indian or Alaska Native,***
20112012,055010,Bracken County,Bracken County High School,Two or more races,***
20112012,055,Bracken County,--District Total--,All Students,77.3
20112012,055,Bracken County,--District Total--,Male,75.0
20112012,055,Bracken County,--District Total--,Female,80.4
20112012,055,Bracken County,--District Total--,White (Non-Hispanic),77.3
20112012,055,Bracken County,--District Total--,African American,***
20112012,055,Bracken County,--District Total--,Hispanic,***
20112012,055,Bracken County,--District Total--,Asian,***
20112012,055,Bracken County,--District Total--,American Indian or Alaska Native,***
20112012,055,Bracken County,--District Total--,Two or more races,***
20112012,061060,Breathitt County,Breathitt County High School,All Students,73.5
20112012,061060,Breathitt County,Breathitt County High School,Male,72.3
20112012,061060,Breathitt County,Breathitt County High School,Female,74.9
20112012,061060,Breathitt County,Breathitt County High School,White (Non-Hispanic),73.0
20112012,061060,Breathitt County,Breathitt County High School,African American,***
20112012,061060,Breathitt County,Breathitt County High School,Hispanic,***
20112012,061060,Breathitt County,Breathitt County High School,Asian,***
20112012,061060,Breathitt County,Breathitt County High School,American Indian or Alaska Native,***
20112012,061060,Breathitt County,Breathitt County High School,Two or more races,***
20112012,061,Breathitt County,--District Total--,All Students,63.3
20112012,061,Breathitt County,--District Total--,Male,56.0
20112012,061,Breathitt County,--District Total--,Female,73.6
20112012,061,Breathitt County,--District Total--,White (Non-Hispanic),65.0
20112012,061,Breathitt County,--District Total--,African American,***
20112012,061,Breathitt County,--District Total--,Hispanic,***
20112012,061,Breathitt County,--District Total--,Asian,***
20112012,061,Breathitt County,--District Total--,American Indian or Alaska Native,***
20112012,061,Breathitt County,--District Total--,Two or more races,***
20112012,065010,Breckinridge County,Breckinridge County High School,All Students,87.9
20112012,065010,Breckinridge County,Breckinridge County High School,Male,81.9
20112012,065010,Breckinridge County,Breckinridge County High School,Female,94.5
20112012,065010,Breckinridge County,Breckinridge County High School,White (Non-Hispanic),87.8
20112012,065010,Breckinridge County,Breckinridge County High School,African American,***
20112012,065010,Breckinridge County,Breckinridge County High School,Hispanic,***
20112012,065010,Breckinridge County,Breckinridge County High School,Asian,***
20112012,065010,Breckinridge County,Breckinridge County High School,American Indian or Alaska Native,***
20112012,065010,Breckinridge County,Breckinridge County High School,Two or more races,***
20112012,065,Breckinridge County,--District Total--,All Students,87.9
20112012,065,Breckinridge County,--District Total--,Male,81.9
20112012,065,Breckinridge County,--District Total--,Female,94.5
20112012,065,Breckinridge County,--District Total--,White (Non-Hispanic),87.8
20112012,065,Breckinridge County,--District Total--,African American,***
20112012,065,Breckinridge County,--District Total--,Hispanic,***
20112012,065,Breckinridge County,--District Total--,Asian,***
20112012,065,Breckinridge County,--District Total--,American Indian or Alaska Native,***
20112012,065,Breckinridge County,--District Total--,Two or more races,***
20112012,071015,Bullitt County,Bullitt Central High School,All Students,68.2
20112012,071015,Bullitt County,Bullitt Central High School,Male,68.2
20112012,071015,Bullitt County,Bullitt Central High School,Female,68.3
20112012,071015,Bullitt County,Bullitt Central High School,White (Non-Hispanic),67.9
20112012,071015,Bullitt County,Bullitt Central High School,African American,***
20112012,071015,Bullitt County,Bullitt Central High School,Hispanic,***
20112012,071015,Bullitt County,Bullitt Central High School,Asian,***
20112012,071015,Bullitt County,Bullitt Central High School,American Indian or Alaska Native,***
20112012,071015,Bullitt County,Bullitt Central High School,Two or more races,***
20112012,071016,Bullitt County,Bullitt East High School,All Students,85.4
20112012,071016,Bullitt County,Bullitt East High School,Male,76.9
20112012,071016,Bullitt County,Bullitt East High School,Female,92.6
20112012,071016,Bullitt County,Bullitt East High School,White (Non-Hispanic),85.2
20112012,071016,Bullitt County,Bullitt East High School,African American,***
20112012,071016,Bullitt County,Bullitt East High School,Hispanic,***
20112012,071016,Bullitt County,Bullitt East High School,Asian,***
20112012,071016,Bullitt County,Bullitt East High School,American Indian or Alaska Native,***
20112012,071016,Bullitt County,Bullitt East High School,Two or more races,***
20112012,071075,Bullitt County,North Bullitt High School,All Students,64.9
20112012,071075,Bullitt County,North Bullitt High School,Male,59.9
20112012,071075,Bullitt County,North Bullitt High School,Female,70.6
20112012,071075,Bullitt County,North Bullitt High School,White (Non-Hispanic),64.5
20112012,071075,Bullitt County,North Bullitt High School,African American,***
20112012,071075,Bullitt County,North Bullitt High School,Hispanic,***
20112012,071075,Bullitt County,North Bullitt High School,Asian,***
20112012,071075,Bullitt County,North Bullitt High School,American Indian or Alaska Native,***
20112012,071075,Bullitt County,North Bullitt High School,Native Hawaiian or Other Pacific Islander,***
20112012,071075,Bullitt County,North Bullitt High School,Two or more races,***
20112012,071,Bullitt County,--District Total--,All Students,76.0
20112012,071,Bullitt County,--District Total--,Male,69.6
20112012,071,Bullitt County,--District Total--,Female,82.6
20112012,071,Bullitt County,--District Total--,White (Non-Hispanic),76.1
20112012,071,Bullitt County,--District Total--,African American,***
20112012,071,Bullitt County,--District Total--,Hispanic,***
20112012,071,Bullitt County,--District Total--,Asian,***
20112012,071,Bullitt County,--District Total--,American Indian or Alaska Native,***
20112012,071,Bullitt County,--District Total--,Native Hawaiian or Other Pacific Islander,***
20112012,071,Bullitt County,--District Total--,Two or more races,***
20112012,072010,Burgin Independent,Burgin High School,All Students,100.0
20112012,072010,Burgin Independent,Burgin High School,Male,***
20112012,072010,Burgin Independent,Burgin High School,Female,***
