SCH_YEAR,CNTYNO,CNTYNAME,DIST_NUMBER,DIST_NAME,SCH_NUMBER,SCH_NAME,SCH_CD,STATE_SCH_ID,NCESID,SPENDING_PER_STDNT,AVG_DAILY_ATTENDANCE,MEMBERSHIP_TOTAL,MEMBERSHIP_MALE_CNT,MEMBERSHIP_MALE_PCT,MEMBERSHIP_FEMALE_CNT,MEMBERSHIP_FEMALE_PCT,MEMBERSHIP_WHITE_CNT,MEMBERSHIP_WHITE_PCT,MEMBERSHIP_BLACK_CNT,MEMBERSHIP_BLACK_PCT,MEMBERSHIP_HISPANIC_CNT,MEMBERSHIP_HISPANIC_PCT,MEMBERSHIP_ASIAN_CNT,MEMBERSHIP_ASIAN_PCT,MEMBERSHIP_AIAN_CNT,MEMBERSHIP_AIAN_PCT,MEMBERSHIP_HAWAIIAN_CNT,MEMBERSHIP_HAWAIIAN_PCT,MEMBERSHIP_TWO_OR_MORE_CNT,MEMBERSHIP_TWO_OR_MORE_PCT,ENROLLMENT_FREE_LUNCH_CNT,ENROLLMENT_FREE_LUNCH_PCT,ENROLLMENT_REDUCED_LUNCH_CNT,ENROLLMENT_REDUCED_LUNCH_PCT,ATTENDANCE_RATE,RETENTION_RATE,DROPOUT_RATE,GRADUATION_RATE,TRANSITION_COLLEGE_INOUT_CNT,TRANSITION_COLLEGE_INOUT_PCT,TRANSITION_COLLEGE_IN_CNT,TRANSITION_COLLEGE_IN_PCT,TRANSITION_COLLEGE_OUT_CNT,TRANSITION_COLLEGE_OUT_PCT,TRANSITION_PARTTIME_CNT,TRANSITION_PARTTIME_PCT,TRANSITION_WORKFORCE_CNT,TRANSITION_WORKFORCE_PCT,TRANSITION_VOCATIONAL_CNT,TRANSITION_VOCATIONAL_PCT,TRANSITION_UNKNOWN_CNT,TRANSITION_UNKNOWN_PCT,TRANSITION_MILITARY_CNT,TRANSITION_MILITARY_PCT,STDNT_TCH_RATIO,FTE_TCH_TOTAL,MALE_FTE_TOTAL,FEMALE_FTE_TOTAL,WHITE_FTE_TOTAL,BLACK_FTE_TOTAL,HISPANIC_FTE_TOTAL,ASIAN_FTE_TOTAL,AIAN_FTE_TOTAL,HAWAIIAN_FTE_TOTAL,TWO_OR_MORE_FTE_TOTAL,RACE_FTE_TOTAL,NATIONAL_BOARD_CERT_TCH_CNT,PCT_CLS_NOT_HQ_TCH,AVG_YRS_TCH_EXP,PROF_QUAL_BA_PCT,PROF_QUAL_MA_PCT,PROF_QUAL_RANK1_PCT,PROF_QUAL_SPECIALIST_PCT,PROF_QUAL_DOCTORATE_PCT,PROF_QUAL_TCH_PCT,TCH_PROV_CERT_PCT,STDNT_COMP_RATIO,COMPUTER_5YR_OLD_PCT,PT_CONFERENCE,SBDM_VOTE,PARENTS_ON_COUNCIL,VOLUNTEER_HRS,COOP,COOP_CODE
20162017,002,ALLEN,005,Allen County,015,James E Bazzell Middle School,005015,002005015,210007000009,"$9,971",410.71,434,220,50.7%,214,49.3%,405,93.3%,6,1.4%,13,3.0%,3,0.7%,0,0.0%,0,0.0%,7,1.6%,235,54.1%,22,5.1%,94.6%,0.9%,0.0%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,16:1,29.00,9.00,20.00,28.00,0.00,0.00,0.00,0.00,1.00,0.00,29.00,2,0.0%,11.3,27.6%,58.6%,13.8%,0.0%,0.0%,100.0%,0.0%,1.8:1,100%,344,73,2,220,GRREC,902
20162017,002,ALLEN,005,Allen County,,---District Total---,005,,,"$10,002","2,785.86","2,948","1,491",50.6%,"1,457",49.4%,"2,751",93.3%,24,0.8%,99,3.4%,14,0.5%,1,0.0%,1,0.0%,58,2.0%,"1,736",58.9%,111,3.8%,94.2%,1.1%,0.6%,N/A,73,35.3%,70,33.8%,3,1.5%,13,6.3%,49,23.7%,55,26.6%,10,4.8%,7,3.4%,15:1,190.00,33.00,157.00,186.00,1.00,1.00,0.00,0.00,2.00,0.00,190.00,12,0.0%,11.8,24.1%,54.1%,21.2%,0.0%,0.6%,100.0%,1.7%,1.5:1,100%,"2,090",321,36,"4,309",GRREC,902
20162017,056,JEFFERSON,006,Anchorage Independent,010,Anchorage Independent Public School,006010,056006010,210009000014,"$20,485",357.47,367,198,54.0%,169,46.0%,337,91.8%,0,0.0%,4,1.1%,21,5.7%,0,0.0%,0,0.0%,5,1.4%,16,4.4%,0,0.0%,97.0%,0.0%,0.0%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10:1,36.00,4.00,32.00,35.00,1.00,0.00,0.00,0.00,0.00,0.00,36.00,5,0.0%,14.6,10.5%,47.4%,39.5%,0.0%,2.6%,100.0%,2.6%,.9:1,100%,367,51,3,"9,800",OVEC,906
20162017,056,JEFFERSON,006,Anchorage Independent,,---District Total---,006,,,"$20,436",357.47,367,198,54.0%,169,46.0%,337,91.8%,0,0.0%,4,1.1%,21,5.7%,0,0.0%,0,0.0%,5,1.4%,16,4.4%,0,0.0%,97.0%,0.0%,0.0%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10:1,36.00,4.00,32.00,35.00,1.00,0.00,0.00,0.00,0.00,0.00,36.00,7,0.0%,14.6,10.5%,47.4%,39.5%,0.0%,2.6%,100.0%,2.6%,.9:1,100%,367,51,3,"9,800",OVEC,906
20162017,003,ANDERSON,011,Anderson County,030,APEX Academy,011030,003011030,210012002371,"$21,472",23.21,38,24,63.2%,14,36.8%,30,78.9%,0,0.0%,5,13.2%,0,0.0%,0,0.0%,0,0.0%,3,7.9%,30,78.9%,3,7.9%,79.0%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,15:1,3.00,2.00,1.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,,0.0%,22.3,25.0%,25.0%,50.0%,0.0%,0.0%,100.0%,0.0%,.8:1,100%,38,,,205,CKEC,901
20162017,003,ANDERSON,011,Anderson County,020,Anderson County High School,011020,003011020,210012000016,"$7,864",982.07,"1,065",540,50.7%,525,49.3%,977,91.7%,13,1.2%,28,2.6%,5,0.5%,2,0.2%,0,0.0%,40,3.8%,369,34.6%,62,5.8%,91.6%,6.1%,1.0%,N/A,164,65.6%,159,63.6%,5,2.0%,12,4.8%,57,22.8%,5,2.0%,4,1.6%,8,3.2%,17:1,62.00,23.00,39.00,62.00,0.00,0.00,0.00,0.00,0.00,0.00,62.00,6,0.0%,12.5,18.7%,36.0%,44.0%,1.3%,0.0%,100.0%,1.3%,1.7:1,100%,487,50,3,"1,550",CKEC,901
20162017,003,ANDERSON,011,Anderson County,025,Anderson County Middle School,011025,003011025,210012000017,"$6,868",835.69,874,440,50.3%,434,49.7%,790,90.4%,20,2.3%,25,2.9%,6,0.7%,1,0.1%,0,0.0%,32,3.7%,350,40.0%,51,5.8%,94.4%,0.3%,0.0%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,21:1,42.00,12.00,30.00,42.00,0.00,0.00,0.00,0.00,0.00,0.00,42.00,6,0.0%,11.3,19.1%,46.8%,31.9%,0.0%,2.1%,100.0%,0.0%,1.5:1,100%,481,19,5,444,CKEC,901
20162017,003,ANDERSON,011,Anderson County,110,Emma B. Ward Elementary School,011110,003011110,210012000021,"$9,388",455.24,477,258,54.1%,219,45.9%,437,91.6%,5,1.0%,13,2.7%,6,1.3%,0,0.0%,0,0.0%,16,3.4%,191,40.0%,21,4.4%,95.5%,0.0%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,15:1,31.00,4.00,27.00,31.00,0.00,0.00,0.00,0.00,0.00,0.00,31.00,5,0.0%,12,13.0%,56.5%,30.4%,0.0%,0.0%,100.0%,0.0%,1.7:1,100%,193,48,7,"2,825",CKEC,901
20162017,003,ANDERSON,011,Anderson County,120,Ezra Sparrow Early Childhood Center,011120,003011120,210012001298,"$21,032",165.45,177,91,51.4%,86,48.6%,154,87.0%,3,1.7%,6,3.4%,1,0.6%,0,0.0%,0,0.0%,13,7.3%,95,53.7%,12,6.8%,94.7%,0.0%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9:1,19.00,.00,19.00,19.00,0.00,0.00,0.00,0.00,0.00,0.00,19.00,0,0.0%,4,63.6%,36.4%,0.0%,0.0%,0.0%,100.0%,0.0%,1.6:1,100%,200,28,3,800,CKEC,901
20162017,003,ANDERSON,011,Anderson County,022,Robert B. Turner Elementary School,011022,003011022,210012001955,"$7,951",526.22,547,300,54.8%,247,45.2%,510,93.2%,4,0.7%,12,2.2%,3,0.5%,0,0.0%,0,0.0%,18,3.3%,233,42.6%,26,4.8%,95.6%,0.0%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,18:1,30.00,3.00,27.00,30.00,0.00,0.00,0.00,0.00,0.00,0.00,30.00,1,0.0%,12,19.2%,53.8%,26.9%,0.0%,0.0%,100.0%,0.0%,1.4:1,100%,444,7,9,656,CKEC,901
20162017,003,ANDERSON,011,Anderson County,050,Saffell Street Elementary School,011050,003011050,210012000018,"$8,625",443.95,467,236,50.5%,231,49.5%,412,88.2%,7,1.5%,27,5.8%,1,0.2%,0,0.0%,0,0.0%,20,4.3%,282,60.4%,22,4.7%,95.3%,0.0%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,16:1,30.00,4.00,26.00,29.00,0.00,0.00,1.00,0.00,0.00,0.00,30.00,2,0.0%,10.3,30.4%,60.9%,8.7%,0.0%,0.0%,100.0%,0.0%,1.6:1,100%,480,25,3,"1,940",CKEC,901
20162017,003,ANDERSON,011,Anderson County,,---District Total---,011,,,"$9,285","3,431.84","3,645","1,889",51.8%,"1,756",48.2%,"3,310",90.8%,52,1.4%,116,3.2%,22,0.6%,3,0.1%,0,0.0%,142,3.9%,"1,550",42.5%,197,5.4%,93.9%,2.9%,0.7%,N/A,164,65.6%,159,63.6%,5,2.0%,12,4.8%,57,22.8%,5,2.0%,4,1.6%,8,3.2%,16:1,216.00,47.00,169.00,215.00,0.00,0.00,1.00,0.00,0.00,0.00,216.00,18,0.0%,11.6,22.0%,45.5%,31.6%,0.5%,0.5%,100.0%,0.5%,1.6:1,100%,"2,323",177,30,"8,420",CKEC,901
20162017,010,BOYD,012,Ashland Independent,050,Ashland Middle School,012050,010012050,210015000023,"$10,151",688.17,726,376,51.8%,350,48.2%,638,87.9%,29,4.0%,11,1.5%,7,1.0%,2,0.3%,0,0.0%,39,5.4%,421,58.0%,33,4.5%,94.6%,0.1%,0.0%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,16:1,47.00,17.00,30.00,46.00,1.00,0.00,0.00,0.00,0.00,0.00,47.00,1,0.0%,13.4,17.0%,56.6%,26.4%,0.0%,0.0%,100.0%,0.0%,1.8:1,100%,150,12,15,700,KEDC,903
20162017,010,BOYD,012,Ashland Independent,130,Charles Russell Elementary School,012130,010012130,210015000031,"$12,292",286.74,288,146,50.7%,142,49.3%,245,85.1%,15,5.2%,6,2.1%,2,0.7%,1,0.3%,0,0.0%,19,6.6%,178,61.8%,14,4.9%,95.7%,0.0%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,14:1,21.00,3.00,18.00,21.00,0.00,0.00,0.00,0.00,0.00,0.00,21.00,0,0.0%,14.8,20.0%,48.0%,28.0%,4.0%,0.0%,100.0%,0.0%,1:1,100%,295,56,3,250,KEDC,903
20162017,010,BOYD,012,Ashland Independent,070,Crabbe Elementary School,012070,010012070,210015000025,"$14,178",269.26,287,149,51.9%,138,48.1%,222,77.4%,17,5.9%,20,7.0%,0,0.0%,0,0.0%,0,0.0%,28,9.8%,261,90.9%,4,1.4%,95.2%,0.0%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,14:1,22.00,2.00,20.00,22.00,0.00,0.00,0.00,0.00,0.00,0.00,22.00,0,0.0%,13.7,14.3%,42.9%,42.9%,0.0%,0.0%,100.0%,0.0%,.9:1,100%,270,30,2,150,KEDC,903
20162017,010,BOYD,012,Ashland Independent,080,Hager Elementary School,012080,010012080,210015000026,"$10,117",323.97,339,172,50.7%,167,49.3%,291,85.8%,7,2.1%,19,5.6%,3,0.9%,0,0.0%,1,0.3%,18,5.3%,172,50.7%,23,6.8%,96.0%,0.0%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,17:1,22.00,1.00,21.00,22.00,0.00,0.00,0.00,0.00,0.00,0.00,22.00,0,0.0%,11.4,29.6%,44.4%,25.9%,0.0%,0.0%,100.0%,0.0%,1.3:1,100%,320,34,6,937,KEDC,903
20162017,010,BOYD,012,Ashland Independent,100,Oakview Elementary School,012100,010012100,210015000028,"$12,325",299.1,326,179,54.9%,147,45.1%,287,88.0%,19,5.8%,5,1.5%,0,0.0%,0,0.0%,1,0.3%,14,4.3%,218,66.9%,15,4.6%,94.7%,0.0%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,14:1,24.00,2.00,22.00,24.00,0.00,0.00,0.00,0.00,0.00,0.00,24.00,1,0.0%,13.2,18.5%,66.7%,14.8%,0.0%,0.0%,100.0%,0.0%,.9:1,100%,304,29,27,902,KEDC,903
20162017,010,BOYD,012,Ashland Independent,010,Paul G. Blazer High School,012010,010012010,210015000022,"$10,852",817.31,861,420,48.8%,441,51.2%,776,90.1%,37,4.3%,15,1.7%,2,0.2%,0,0.0%,0,0.0%,31,3.6%,437,50.8%,46,5.3%,93.2%,0.7%,0.8%,N/A,133,65.5%,118,58.1%,15,7.4%,10,4.9%,43,21.2%,8,3.9%,6,3.0%,3,1.5%,16:1,57.00,28.00,29.00,55.00,2.00,0.00,0.00,0.00,0.00,0.00,57.00,1,0.0%,14.3,25.4%,47.5%,25.4%,0.0%,1.7%,100.0%,0.0%,2.4:1,100%,148,13,2,"2,742",KEDC,903
20162017,010,BOYD,012,Ashland Independent,110,Poage Elementary School,012110,010012110,210015000029,"$13,978",251.07,258,137,53.1%,121,46.9%,225,87.2%,15,5.8%,7,2.7%,1,0.4%,0,0.0%,0,0.0%,10,3.9%,162,62.8%,11,4.3%,95.2%,0.0%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,14:1,21.00,4.00,17.00,21.00,0.00,0.00,0.00,0.00,0.00,0.00,21.00,0,0.0%,11.1,16.7%,54.2%,29.2%,0.0%,0.0%,100.0%,0.0%,.9:1,100%,274,28,3,82,KEDC,903
20162017,010,BOYD,012,Ashland Independent,,---District Total---,012,,,"$11,319","2,935.61","3,085","1,579",51.2%,"1,506",48.8%,"2,684",87.0%,139,4.5%,83,2.7%,15,0.5%,3,0.1%,2,0.1%,159,5.2%,"1,849",59.9%,146,4.7%,94.6%,0.3%,0.6%,N/A,133,65.5%,118,58.1%,15,7.4%,10,4.9%,43,21.2%,8,3.9%,6,3.0%,3,1.5%,14:1,208.00,52.00,156.00,205.00,3.00,0.00,0.00,0.00,0.00,0.00,208.00,4,0.0%,13.1,21.6%,51.2%,26.4%,0.4%,0.4%,100.0%,0.4%,1.4:1,100%,"1,761",202,58,"5,763",KEDC,903
20162017,012,BRACKEN,013,Augusta Independent,011,Augusta Independent School,013011,012013011,210018001968,"$11,743",262.81,282,159,56.4%,123,43.6%,273,96.8%,3,1.1%,4,1.4%,0,0.0%,0,0.0%,0,0.0%,2,0.7%,187,66.3%,11,3.9%,95.0%,1.5%,0.0%,N/A,18,75.0%,16,66.7%,2,8.3%,N/A,0.0%,3,12.5%,2,8.3%,N/A,0.0%,1,4.2%,15:1,20.00,6.00,14.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,0,0.0%,9.7,26.3%,52.6%,21.1%,0.0%,0.0%,100.0%,4.8%,1:1,100%,257,,,"2,515",KEDC,903
20162017,012,BRACKEN,013,Augusta Independent,,---District Total---,013,,,"$11,598",262.81,282,159,56.4%,123,43.6%,273,96.8%,3,1.1%,4,1.4%,0,0.0%,0,0.0%,0,0.0%,2,0.7%,187,66.3%,11,3.9%,95.0%,1.5%,0.0%,N/A,18,75.0%,16,66.7%,2,8.3%,N/A,0.0%,3,12.5%,2,8.3%,N/A,0.0%,1,4.2%,14:1,20.00,6.00,14.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,,0.0%,9.7,26.3%,52.6%,21.1%,0.0%,0.0%,100.0%,4.8%,1:1,100%,257,,,"2,515",KEDC,903
20162017,004,BALLARD,015,Ballard County,905,Ballard County Career and Technology Ctr,015905,004015905,210021002404,,,308,175,56.8%,133,43.2%,273,88.6%,18,5.8%,8,2.6%,1,0.3%,0,0.0%,0,0.0%,8,2.6%,,0.0%,,0.0%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0:1,.00,.00,.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.0%,,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0:1,100%,,,,,WKEC,908
