SCH_YEAR,SCH_NAME,SCH_CD,GRAD_TARGETS,DISAGG_LABEL,FOUR_YR_GRADRATE
20132014,Allen County-Scottsville High School,005020,Numerator Count,Male,97
20132014,Allen County-Scottsville High School,005020,Denominator Count,Female,100
20132014,Allen County-Scottsville High School,005020,Numerator Count,Female,95
20132014,Allen County-Scottsville High School,005020,Actual Score,Female,95.0
20132014,Allen County-Scottsville High School,005020,Met Target,Female,
20132014,Allen County-Scottsville High School,005020,Delivery Target,Female,
20132014,Allen County-Scottsville High School,005020,Actual Score,White (Non-Hispanic),92.3
20132014,Allen County-Scottsville High School,005020,Met Target,White (Non-Hispanic),
20132014,Allen County-Scottsville High School,005020,Denominator Count,White (Non-Hispanic),195
20132014,Allen County-Scottsville High School,005020,Numerator Count,White (Non-Hispanic),180
20132014,Allen County-Scottsville High School,005020,Delivery Target,White (Non-Hispanic),
20132014,Allen County-Scottsville High School,005020,Actual Score,African American,***
20132014,Allen County-Scottsville High School,005020,Numerator Count,African American,***
20132014,Allen County-Scottsville High School,005020,Denominator Count,African American,***
20132014,Allen County-Scottsville High School,005020,Delivery Target,African American,
20132014,Allen County-Scottsville High School,005020,Met Target,African American,
20132014,Allen County-Scottsville High School,005020,Denominator Count,Hispanic,***
20132014,Allen County-Scottsville High School,005020,Actual Score,Hispanic,***
20132014,Allen County-Scottsville High School,005020,Numerator Count,Hispanic,***
20132014,Allen County-Scottsville High School,005020,Delivery Target,Hispanic,
20132014,Allen County-Scottsville High School,005020,Met Target,Hispanic,
20132014,Allen County-Scottsville High School,005020,Denominator Count,Asian,
20132014,Allen County-Scottsville High School,005020,Actual Score,Asian,
20132014,Allen County-Scottsville High School,005020,Met Target,Asian,
20132014,Allen County-Scottsville High School,005020,Numerator Count,Asian,
20132014,Allen County-Scottsville High School,005020,Delivery Target,Asian,
20132014,Allen County-Scottsville High School,005020,Actual Score,American Indian or Alaska Native,***
20132014,Allen County-Scottsville High School,005020,Delivery Target,American Indian or Alaska Native,
20132014,Allen County-Scottsville High School,005020,Denominator Count,American Indian or Alaska Native,***
20132014,Allen County-Scottsville High School,005020,Numerator Count,American Indian or Alaska Native,***
20132014,Allen County-Scottsville High School,005020,Met Target,American Indian or Alaska Native,
20132014,Allen County-Scottsville High School,005020,Denominator Count,Native Hawaiian or Other Pacific Islander,
20132014,Allen County-Scottsville High School,005020,Actual Score,Native Hawaiian or Other Pacific Islander,
20132014,Allen County-Scottsville High School,005020,Delivery Target,Native Hawaiian or Other Pacific Islander,
20132014,Allen County-Scottsville High School,005020,Numerator Count,Native Hawaiian or Other Pacific Islander,
20132014,Allen County-Scottsville High School,005020,Met Target,Native Hawaiian or Other Pacific Islander,
20132014,Allen County-Scottsville High School,005020,Actual Score,Two or more races,***
20132014,Allen County-Scottsville High School,005020,Numerator Count,Two or more races,***
20132014,Allen County-Scottsville High School,005020,Met Target,Two or more races,
20132014,Allen County-Scottsville High School,005020,Delivery Target,Two or more races,
20132014,Allen County-Scottsville High School,005020,Denominator Count,Two or more races,***
20132014,Allen County-Scottsville High School,005020,Actual Score,Migrant,
20132014,Allen County-Scottsville High School,005020,Met Target,Migrant,
20132014,Allen County-Scottsville High School,005020,Numerator Count,Migrant,
20132014,Allen County-Scottsville High School,005020,Denominator Count,Migrant,
20132014,Allen County-Scottsville High School,005020,Delivery Target,Migrant,
20132014,Allen County-Scottsville High School,005020,Delivery Target,Limited English Proficiency,
20132014,Allen County-Scottsville High School,005020,Numerator Count,Limited English Proficiency,
20132014,Allen County-Scottsville High School,005020,Actual Score,Limited English Proficiency,
20132014,Allen County-Scottsville High School,005020,Denominator Count,Limited English Proficiency,
20132014,Allen County-Scottsville High School,005020,Met Target,Limited English Proficiency,
20132014,Allen County-Scottsville High School,005020,Numerator Count,Free/Reduced-Price Meals,96
20132014,Allen County-Scottsville High School,005020,Delivery Target,Free/Reduced-Price Meals,
20132014,Allen County-Scottsville High School,005020,Denominator Count,Free/Reduced-Price Meals,109
20132014,Allen County-Scottsville High School,005020,Met Target,Free/Reduced-Price Meals,
20132014,Allen County-Scottsville High School,005020,Actual Score,Free/Reduced-Price Meals,88.1
20132014,Allen County-Scottsville High School,005020,Numerator Count,Disability-With IEP (Total),15
20132014,Allen County-Scottsville High School,005020,Delivery Target,Disability-With IEP (Total),
20132014,Allen County-Scottsville High School,005020,Actual Score,Disability-With IEP (Total),78.9
20132014,Allen County-Scottsville High School,005020,Denominator Count,Disability-With IEP (Total),19
20132014,Allen County-Scottsville High School,005020,Met Target,Disability-With IEP (Total),
20132014,Allen County-Scottsville High School,005020,Delivery Target,GAP,
20132014,Allen County-Scottsville High School,005020,Met Target,GAP,
20132014,Allen County-Scottsville High School,005020,Actual Score,GAP,86.8
20132014,Allen County-Scottsville High School,005020,Denominator Count,GAP,114
20132014,Allen County-Scottsville High School,005020,Numerator Count,GAP,99
20132014,---District Total---,005,Met Target,All Students,
20132014,---District Total---,005,Denominator Count,All Students,208
20132014,---District Total---,005,Delivery Target,All Students,
20132014,---District Total---,005,Actual Score,All Students,92.3
20132014,---District Total---,005,Numerator Count,All Students,192
20132014,---District Total---,005,Denominator Count,Male,108
20132014,---District Total---,005,Numerator Count,Male,97
20132014,---District Total---,005,Met Target,Male,
20132014,---District Total---,005,Delivery Target,Male,
20132014,---District Total---,005,Actual Score,Male,89.8
20132014,---District Total---,005,Actual Score,Female,95.0
20132014,---District Total---,005,Denominator Count,Female,100
20132014,---District Total---,005,Delivery Target,Female,
20132014,---District Total---,005,Met Target,Female,
20132014,---District Total---,005,Numerator Count,Female,95
20132014,---District Total---,005,Numerator Count,White (Non-Hispanic),180
20132014,---District Total---,005,Denominator Count,White (Non-Hispanic),195
20132014,---District Total---,005,Actual Score,White (Non-Hispanic),92.3
20132014,---District Total---,005,Delivery Target,White (Non-Hispanic),
20132014,---District Total---,005,Met Target,White (Non-Hispanic),
20132014,---District Total---,005,Denominator Count,African American,***
20132014,---District Total---,005,Delivery Target,African American,
20132014,---District Total---,005,Numerator Count,African American,***
20132014,---District Total---,005,Actual Score,African American,***
20132014,---District Total---,005,Met Target,African American,
20132014,---District Total---,005,Numerator Count,Hispanic,***
20132014,---District Total---,005,Denominator Count,Hispanic,***
20132014,---District Total---,005,Actual Score,Hispanic,***
20132014,---District Total---,005,Met Target,Hispanic,
20132014,---District Total---,005,Delivery Target,Hispanic,
20132014,---District Total---,005,Met Target,Asian,
20132014,---District Total---,005,Denominator Count,Asian,
20132014,---District Total---,005,Numerator Count,Asian,
20132014,---District Total---,005,Actual Score,Asian,
20132014,---District Total---,005,Delivery Target,Asian,
20132014,---District Total---,005,Met Target,American Indian or Alaska Native,
20132014,---District Total---,005,Denominator Count,American Indian or Alaska Native,***
20132014,---District Total---,005,Delivery Target,American Indian or Alaska Native,
20132014,---District Total---,005,Actual Score,American Indian or Alaska Native,***
20132014,---District Total---,005,Numerator Count,American Indian or Alaska Native,***
20132014,---District Total---,005,Numerator Count,Native Hawaiian or Other Pacific Islander,
20132014,---District Total---,005,Met Target,Native Hawaiian or Other Pacific Islander,
20132014,---District Total---,005,Actual Score,Native Hawaiian or Other Pacific Islander,
20132014,---District Total---,005,Delivery Target,Native Hawaiian or Other Pacific Islander,
20132014,---District Total---,005,Denominator Count,Native Hawaiian or Other Pacific Islander,
20132014,---District Total---,005,Numerator Count,Two or more races,***
20132014,---District Total---,005,Actual Score,Two or more races,***
20132014,---District Total---,005,Denominator Count,Two or more races,***
20132014,---District Total---,005,Delivery Target,Two or more races,
20132014,---District Total---,005,Met Target,Two or more races,
20132014,---District Total---,005,Numerator Count,Migrant,
20132014,---District Total---,005,Actual Score,Migrant,
20132014,---District Total---,005,Delivery Target,Migrant,
20132014,---District Total---,005,Denominator Count,Migrant,
20132014,---District Total---,005,Met Target,Migrant,
20132014,---District Total---,005,Denominator Count,Limited English Proficiency,
20132014,---District Total---,005,Met Target,Limited English Proficiency,
20132014,---District Total---,005,Delivery Target,Limited English Proficiency,
20132014,---District Total---,005,Numerator Count,Limited English Proficiency,
20132014,---District Total---,005,Actual Score,Limited English Proficiency,
20132014,---District Total---,005,Actual Score,Free/Reduced-Price Meals,88.1
20132014,---District Total---,005,Numerator Count,Free/Reduced-Price Meals,96
20132014,---District Total---,005,Met Target,Free/Reduced-Price Meals,
20132014,---District Total---,005,Denominator Count,Free/Reduced-Price Meals,109
20132014,---District Total---,005,Delivery Target,Free/Reduced-Price Meals,
20132014,---District Total---,005,Actual Score,Disability-With IEP (Total),78.9
20132014,---District Total---,005,Delivery Target,Disability-With IEP (Total),
20132014,---District Total---,005,Met Target,Disability-With IEP (Total),
20132014,---District Total---,005,Numerator Count,Disability-With IEP (Total),15
20132014,---District Total---,005,Denominator Count,Disability-With IEP (Total),19
20132014,---District Total---,005,Actual Score,GAP,86.8
20132014,---District Total---,005,Met Target,GAP,
20132014,---District Total---,005,Numerator Count,GAP,99
20132014,---District Total---,005,Delivery Target,GAP,
20132014,---District Total---,005,Denominator Count,GAP,114
20132014,Anderson County High School,011020,Denominator Count,All Students,282
20132014,Anderson County High School,011020,Actual Score,All Students,97.5
20132014,Anderson County High School,011020,Met Target,All Students,
20132014,Anderson County High School,011020,Numerator Count,All Students,275
20132014,Anderson County High School,011020,Delivery Target,All Students,
20132014,Anderson County High School,011020,Delivery Target,Male,
20132014,Anderson County High School,011020,Denominator Count,Male,136
20132014,Anderson County High School,011020,Actual Score,Male,97.1
20132014,Anderson County High School,011020,Met Target,Male,
20132014,Anderson County High School,011020,Numerator Count,Male,132
20132014,Anderson County High School,011020,Delivery Target,Female,
20132014,Anderson County High School,011020,Denominator Count,Female,146
20132014,Anderson County High School,011020,Numerator Count,Female,143
20132014,Anderson County High School,011020,Met Target,Female,
20132014,Anderson County High School,011020,Actual Score,Female,97.9
20132014,Anderson County High School,011020,Delivery Target,White (Non-Hispanic),
20132014,Anderson County High School,011020,Denominator Count,White (Non-Hispanic),266
20132014,Anderson County High School,011020,Numerator Count,White (Non-Hispanic),260
20132014,Anderson County High School,011020,Met Target,White (Non-Hispanic),
20132014,Anderson County High School,011020,Actual Score,White (Non-Hispanic),97.7
20132014,Anderson County High School,011020,Met Target,African American,
20132014,Anderson County High School,011020,Actual Score,African American,***
20132014,Anderson County High School,011020,Delivery Target,African American,
20132014,Anderson County High School,011020,Numerator Count,African American,***
20132014,Anderson County High School,011020,Denominator Count,African American,***
20132014,Anderson County High School,011020,Delivery Target,Hispanic,
20132014,Anderson County High School,011020,Numerator Count,Hispanic,***
20132014,Anderson County High School,011020,Met Target,Hispanic,
20132014,Anderson County High School,011020,Denominator Count,Hispanic,***
20132014,Anderson County High School,011020,Actual Score,Hispanic,***
20132014,Anderson County High School,011020,Numerator Count,Asian,***
20132014,Anderson County High School,011020,Met Target,Asian,
20132014,Anderson County High School,011020,Delivery Target,Asian,
20132014,Anderson County High School,011020,Denominator Count,Asian,***
20132014,Anderson County High School,011020,Actual Score,Asian,***
20132014,Anderson County High School,011020,Actual Score,American Indian or Alaska Native,***
20132014,Anderson County High School,011020,Denominator Count,American Indian or Alaska Native,***
20132014,Anderson County High School,011020,Delivery Target,American Indian or Alaska Native,
20132014,Anderson County High School,011020,Met Target,American Indian or Alaska Native,
20132014,Anderson County High School,011020,Numerator Count,American Indian or Alaska Native,***
20132014,Anderson County High School,011020,Actual Score,Native Hawaiian or Other Pacific Islander,
20132014,Anderson County High School,011020,Delivery Target,Native Hawaiian or Other Pacific Islander,
20132014,Anderson County High School,011020,Denominator Count,Native Hawaiian or Other Pacific Islander,
20132014,Anderson County High School,011020,Met Target,Native Hawaiian or Other Pacific Islander,
20132014,Anderson County High School,011020,Numerator Count,Native Hawaiian or Other Pacific Islander,
20132014,Anderson County High School,011020,Actual Score,Two or more races,***
20132014,Anderson County High School,011020,Met Target,Two or more races,
20132014,Anderson County High School,011020,Delivery Target,Two or more races,
20132014,Anderson County High School,011020,Numerator Count,Two or more races,***
20132014,Anderson County High School,011020,Denominator Count,Two or more races,***
20132014,Anderson County High School,011020,Met Target,Migrant,
20132014,Anderson County High School,011020,Delivery Target,Migrant,
20132014,Anderson County High School,011020,Numerator Count,Migrant,***
20132014,Anderson County High School,011020,Denominator Count,Migrant,***
20132014,Anderson County High School,011020,Actual Score,Migrant,***
20132014,Anderson County High School,011020,Denominator Count,Limited English Proficiency,***
20132014,Anderson County High School,011020,Delivery Target,Limited English Proficiency,
20132014,Anderson County High School,011020,Actual Score,Limited English Proficiency,***
20132014,Anderson County High School,011020,Numerator Count,Limited English Proficiency,***
20132014,Anderson County High School,011020,Met Target,Limited English Proficiency,
20132014,Anderson County High School,011020,Delivery Target,Free/Reduced-Price Meals,
20132014,Anderson County High School,011020,Numerator Count,Free/Reduced-Price Meals,97
20132014,Anderson County High School,011020,Denominator Count,Free/Reduced-Price Meals,103
20132014,Anderson County High School,011020,Met Target,Free/Reduced-Price Meals,
20132014,Anderson County High School,011020,Actual Score,Free/Reduced-Price Meals,94.2
20132014,Anderson County High School,011020,Numerator Count,Disability-With IEP (Total),18
20132014,Anderson County High School,011020,Delivery Target,Disability-With IEP (Total),
20132014,Anderson County High School,011020,Denominator Count,Disability-With IEP (Total),20
20132014,Anderson County High School,011020,Met Target,Disability-With IEP (Total),
20132014,Anderson County High School,011020,Actual Score,Disability-With IEP (Total),90.0
20132014,Anderson County High School,011020,Met Target,GAP,
20132014,Anderson County High School,011020,Actual Score,GAP,94.6
20132014,Anderson County High School,011020,Numerator Count,GAP,105
20132014,Anderson County High School,011020,Delivery Target,GAP,
20132014,Anderson County High School,011020,Denominator Count,GAP,111
20132014,---District Total---,011,Actual Score,All Students,97.2
20132014,---District Total---,011,Numerator Count,All Students,275
20132014,---District Total---,011,Met Target,All Students,
20132014,---District Total---,011,Denominator Count,All Students,283
20132014,---District Total---,011,Delivery Target,All Students,
20132014,---District Total---,011,Denominator Count,Male,137
20132014,---District Total---,011,Numerator Count,Male,132
20132014,---District Total---,011,Actual Score,Male,96.4
20132014,---District Total---,011,Met Target,Male,
20132014,---District Total---,011,Delivery Target,Male,
20132014,---District Total---,011,Met Target,Female,
20132014,---District Total---,011,Numerator Count,Female,143
20132014,---District Total---,011,Delivery Target,Female,
20132014,---District Total---,011,Actual Score,Female,97.9
20132014,---District Total---,011,Denominator Count,Female,146
20132014,---District Total---,011,Denominator Count,White (Non-Hispanic),267
20132014,---District Total---,011,Met Target,White (Non-Hispanic),
20132014,---District Total---,011,Actual Score,White (Non-Hispanic),97.4
20132014,---District Total---,011,Numerator Count,White (Non-Hispanic),260
20132014,---District Total---,011,Delivery Target,White (Non-Hispanic),
20132014,---District Total---,011,Actual Score,African American,***
20132014,---District Total---,011,Denominator Count,African American,***
20132014,---District Total---,011,Met Target,African American,
20132014,---District Total---,011,Delivery Target,African American,
20132014,---District Total---,011,Numerator Count,African American,***
20132014,---District Total---,011,Delivery Target,Hispanic,
20132014,---District Total---,011,Numerator Count,Hispanic,***
20132014,---District Total---,011,Denominator Count,Hispanic,***
20132014,---District Total---,011,Actual Score,Hispanic,***
20132014,---District Total---,011,Met Target,Hispanic,
20132014,---District Total---,011,Actual Score,Asian,***
20132014,---District Total---,011,Delivery Target,Asian,
20132014,---District Total---,011,Denominator Count,Asian,***
20132014,---District Total---,011,Met Target,Asian,
20132014,---District Total---,011,Numerator Count,Asian,***
20132014,---District Total---,011,Numerator Count,American Indian or Alaska Native,***
20132014,---District Total---,011,Met Target,American Indian or Alaska Native,
20132014,---District Total---,011,Actual Score,American Indian or Alaska Native,***
20132014,---District Total---,011,Denominator Count,American Indian or Alaska Native,***
20132014,---District Total---,011,Delivery Target,American Indian or Alaska Native,
20132014,---District Total---,011,Numerator Count,Native Hawaiian or Other Pacific Islander,
20132014,---District Total---,011,Met Target,Native Hawaiian or Other Pacific Islander,
20132014,---District Total---,011,Denominator Count,Native Hawaiian or Other Pacific Islander,
20132014,---District Total---,011,Delivery Target,Native Hawaiian or Other Pacific Islander,
20132014,---District Total---,011,Actual Score,Native Hawaiian or Other Pacific Islander,
20132014,---District Total---,011,Delivery Target,Two or more races,
20132014,---District Total---,011,Met Target,Two or more races,
20132014,---District Total---,011,Actual Score,Two or more races,***
20132014,---District Total---,011,Numerator Count,Two or more races,***
20132014,---District Total---,011,Denominator Count,Two or more races,***
20132014,---District Total---,011,Met Target,Migrant,
20132014,---District Total---,011,Delivery Target,Migrant,
20132014,---District Total---,011,Numerator Count,Migrant,***
20132014,---District Total---,011,Denominator Count,Migrant,***
20132014,---District Total---,011,Actual Score,Migrant,***
20132014,---District Total---,011,Delivery Target,Limited English Proficiency,
20132014,---District Total---,011,Actual Score,Limited English Proficiency,***
20132014,---District Total---,011,Met Target,Limited English Proficiency,
20132014,---District Total---,011,Numerator Count,Limited English Proficiency,***
20132014,---District Total---,011,Denominator Count,Limited English Proficiency,***
20132014,---District Total---,011,Delivery Target,Free/Reduced-Price Meals,
20132014,---District Total---,011,Denominator Count,Free/Reduced-Price Meals,103
20132014,---District Total---,011,Actual Score,Free/Reduced-Price Meals,94.2
20132014,---District Total---,011,Numerator Count,Free/Reduced-Price Meals,97
20132014,---District Total---,011,Met Target,Free/Reduced-Price Meals,
20132014,---District Total---,011,Met Target,Disability-With IEP (Total),
20132014,---District Total---,011,Actual Score,Disability-With IEP (Total),90.0
20132014,---District Total---,011,Delivery Target,Disability-With IEP (Total),
20132014,---District Total---,011,Denominator Count,Disability-With IEP (Total),20
20132014,---District Total---,011,Numerator Count,Disability-With IEP (Total),18
20132014,---District Total---,011,Met Target,GAP,
20132014,---District Total---,011,Delivery Target,GAP,
20132014,---District Total---,011,Numerator Count,GAP,105
20132014,---District Total---,011,Denominator Count,GAP,111
20132014,---District Total---,011,Actual Score,GAP,94.6
20132014,Paul G. Blazer High School,012010,Numerator Count,All Students,220
20132014,Paul G. Blazer High School,012010,Actual Score,All Students,95.7
20132014,Paul G. Blazer High School,012010,Met Target,All Students,
20132014,Paul G. Blazer High School,012010,Denominator Count,All Students,230
20132014,Paul G. Blazer High School,012010,Delivery Target,All Students,
20132014,Paul G. Blazer High School,012010,Met Target,Male,
20132014,Paul G. Blazer High School,012010,Delivery Target,Male,
20132014,Paul G. Blazer High School,012010,Numerator Count,Male,107
20132014,Paul G. Blazer High School,012010,Actual Score,Male,95.5
20132014,Paul G. Blazer High School,012010,Denominator Count,Male,112
20132014,Paul G. Blazer High School,012010,Denominator Count,Female,118
20132014,Paul G. Blazer High School,012010,Delivery Target,Female,
